NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius kron_flux ra dec flag
493 1394.28 1296.22 0.52 65.82 1.78 6.271468946298023e-13 339.75490870385386 -5.876683350621288 2
503 1686.87 1332.39 0.34 -18.53 7.4 4.424010293081971e-12 339.72897932365873 -5.8737033997379315 1
507 411.84 1337.04 0.23 -72.79 1.95 4.8491571909951e-13 339.8418628320089 -5.872422357542206 1
511 723.84 1345.98 0.22 -72.22 2.88 9.321483043687129e-13 339.81423255804077 -5.871852220796069 1
539 1985.36 1411.97 0.27 -47.78 1.78 4.955737018161437e-13 339.7024985286619 -5.86691180113684 1
554 349.15 1457.99 0.25 -51.42 7.4 3.7467208912624e-12 339.8473284824383 -5.861751878786316 1
576 1352.42 1499.86 0.29 66.86 5.75 2.7002661288229044e-12 339.75847591307405 -5.8587618703805715 1
605 911.1 1567.93 0.11 -50.12 3.61 1.7355648585690446e-12 339.79750095947213 -5.852479060826251 1
607 629.57 1569.88 0.1 -54.27 3.78 1.1963968811194695e-12 339.8224242623631 -5.852114666741224 1
610 1144.69 1580.79 0.41 84.22 2.19 7.292381922115384e-13 339.77681180747624 -5.851509604221587 1
639 1923.27 1656.12 0.21 33.57 2.76 8.216315861196774e-13 339.70783114649834 -5.845417812869762 1
643 599.83 1670.11 0.73 -38.5 2.11 7.496895659359769e-13 339.82498802821044 -5.843286738116701 1
651 1091.11 1692.91 0.21 -87.01 4.41 1.5093529254533437e-12 339.78147854038565 -5.841621042222037 1
657 788.17 1713.46 0.17 -1.66 3.99 1.8475582257897402e-12 339.80828426949694 -5.839607573525246 1
661 1370.65 1718.75 0.38 -78.19 4.82 2.5149656094373327e-12 339.7567130285179 -5.839541512880452 1
668 1271.69 1726.75 0.15 50.26 3.83 1.3167850132657908e-12 339.76546825746476 -5.8387710254558876 1
673 1387.58 1734.84 0.54 41.56 3.14 1.5464332260194603e-12 339.7552032315876 -5.838139212430486 2
678 1908.24 1743.37 0.4 25.68 2.39 9.003316728924198e-13 339.7091024847167 -5.837741490365323 1
681 1389.02 1750.61 0.24 32.93 3.04 1.027402034024123e-12 339.7550646750473 -5.836754270787518 1
695 227.43 1786.7 0.3 -47.7 3.48 1.3462453464240532e-12 339.85787580440484 -5.8327852337927855 1
701 1158.56 1804.7 0.41 -84.09 2.99 1.6077696380218907e-12 339.7754306435014 -5.83184441291817 1
714 756.5 1845.81 0.34 81.55 3.95 1.2878260201238873e-12 339.8109968339119 -5.827957046926363 1
716 804.09 1847.7 0.44 68.89 2.11 6.415693365141089e-13 339.80678224071994 -5.827823827540192 1
723 273.59 1873.2 0.3 -44.73 5.08 2.475907680299052e-12 339.85372905670204 -5.8252171311723036 1
728 399.45 1878.07 0.35 -41.27 3.66 1.939279147701647e-12 339.8425833085535 -5.824876556906478 1
744 1655.13 1922.44 0.55 71.22 5.59 3.5416439365777074e-12 339.7313900846808 -5.821836851734612 1
747 1485.89 1923.02 0.06 -88.77 2.99 2.0234819374456206e-12 339.746371831609 -5.821671146818955 1
756 1631.88 1947.86 0.21 -45.59 1.6 3.5583065245210723e-13 339.73343106630637 -5.8195869510321305 1
757 930.86 1952.13 0.26 56.89 1.6 5.679184101839824e-13 339.79548709845534 -5.818734925797671 1
770 124.29 1996.32 0.25 64.56 1.78 7.325294487933688e-13 339.8668606463841 -5.81429521040391 2
776 93.46 2001.32 0.71 -89.25 1.87 5.006410029173887e-13 339.86958604452315 -5.813834534409417 1
808 808.11 2021.17 0.48 -88.16 5.38 2.751141579159102e-12 339.80630656853225 -5.812584848964704 1
811 223.74 2021.76 0.47 -43.56 4.33 2.1676444292774685e-12 339.8580386285875 -5.812128753474973 1
816 1854.43 2027.77 0.3 -19.35 1.87 6.295164905524693e-13 339.7136749136574 -5.812716455351306 2
830 1009.15 2050.73 0.36 -62.22 3.57 1.2503217762114063e-12 339.7884893746515 -5.810125509995586 1
850 1302.97 174.55 0.1 -83.51 7.27 6.85810215596527e-12 339.76375873341544 -5.975176973095808 1
851 1296.36 178.73 0.43 59.13 3.24 1.2184952449895794e-12 339.7643412283991 -5.974805084989651 1
852 1307.9 181.7 0.39 -34.64 4.37 1.691117762390859e-12 339.76331727582476 -5.974552380481591 1
861 288.42 527.94 0.07 -70.9 7.2 7.40308247131858e-12 339.85335300800153 -5.943428488308787 1
894 960.21 1761.71 0.33 80.97 3.87 1.1661786357247612e-12 339.7930200098802 -5.835486145837651 2
895 959.65 1769.17 0.1 73.61 2.52 7.188389429090251e-13 339.7930641952344 -5.8348307447505015 2
902 418.71 1925.56 0.34 32.68 8.72 8.110892044557671e-12 339.8408453054142 -5.820716827617968 1
903 406.28 1921.78 0.37 54.88 2.93 9.69456379563632e-13 339.8419487187467 -5.821040307821489 1
