NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius kron_flux ra dec flag
355 507.87 569.06 0.29 -39.09 2.59 6.363049545336126 328.33312994804504 17.782209677377605 1
361 1797.65 571.16 0.26 62.0 2.19 3.6588556649574953 328.21158444630294 17.78130597736424 1
365 299.63 580.2 0.27 -5.83 2.11 4.451279179229752 328.3525113476523 17.783560941698443 1
372 1987.27 592.02 0.35 79.62 2.19 8.037008476110099 328.19412248076156 17.78316406222042 1
374 100.64 597.41 0.16 76.39 3.43 11.654210639528083 328.3707806778275 17.78547033869755 1
375 969.32 596.25 0.07 65.72 2.52 5.947498825497938 328.28955280363874 17.78403327000679 1
376 874.95 602.23 0.2 33.19 6.72 20.947139268603216 328.2984980916555 17.784676179339083 1
388 779.7 633.78 0.22 64.67 2.99 6.383362131957753 328.30749567380514 17.787625981397827 1
421 409.0 688.07 0.7 72.45 1.69 2.3327346413115277 328.34233302298514 17.793013863695624 1
430 811.49 702.49 0.08 -79.08 6.33 17.721220063090072 328.3044334029596 17.793771965563593 1
456 892.75 735.17 0.19 -9.95 4.51 15.036921087651972 328.2966956011179 17.796627867954765 1
462 450.68 743.87 0.48 34.45 7.4 27.943950437448663 328.3384156093706 17.797957904616695 1
479 1177.9 769.29 0.33 89.25 4.26 16.210483096036768 328.2695571145917 17.79942917253099 1
482 684.15 784.49 0.21 89.77 1.78 2.3875368443636686 328.3164258878106 17.801315803378955 1
493 612.64 805.01 0.66 -49.9 1.95 3.370051890618716 328.3231634693675 17.80325177774593 1
497 492.55 808.47 0.52 47.87 1.87 2.8887668526710613 328.33445706187155 17.803710798384948 1
521 562.7 852.3 0.09 19.45 4.85 14.5488381629368 328.32783460328335 17.807574910297493 1
528 506.27 860.87 0.33 31.84 5.29 19.86005976691431 328.3331340880693 17.80841270548893 1
531 436.3 867.55 0.51 -75.53 3.43 10.583449249611 328.33968775831806 17.809097099968877 1
549 1301.35 899.11 0.43 88.45 1.95 4.471097928535085 328.25768089211624 17.81105942375038 1
575 587.03 946.88 0.35 43.63 3.91 11.943687545799355 328.3254641901462 17.81608371358265 1
580 914.63 963.29 0.19 46.9 5.41 17.79989987339674 328.2943987943396 17.817239979122718 1
