NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius kron_flux ra dec flag
4 1118.4 31.86 0.34 -21.94 7.67 4.5415825692675475e-12 250.08393957698772 46.606889806720716 1
6 617.73 30.98 0.41 3.25 2.03 5.554918409459996e-13 250.1479925414447 46.60708456181535 2
36 1608.02 91.25 0.37 63.27 1.6 3.2407690857361e-13 250.02124656328576 46.611809357559196 1
42 1427.18 103.33 0.46 13.93 3.19 1.0532433420652393e-12 250.04437207520147 46.61298640394847 1
44 834.36 105.66 0.64 -48.65 1.6 3.7288202057081474e-13 250.1202195320822 46.613535883113386 1
45 609.92 110.18 0.32 43.92 1.95 6.020932621793859e-13 250.14893308374027 46.614051366247224 2
52 477.82 121.49 0.19 11.16 4.18 1.5816207395859089e-12 250.16582679257832 46.61511098234023 1
62 903.55 145.77 0.14 -49.54 3.57 1.1284782657299073e-12 250.11133504481748 46.61702416136169 1
66 1887.14 154.44 0.35 -15.42 3.7 1.667473773429819e-12 249.98547115824357 46.617177358404845 1
71 950.94 159.55 0.19 42.43 3.66 1.7501637367532296e-12 250.10525985913657 46.61820968437821 1
80 158.26 183.4 0.63 70.19 1.6 3.71376964437558e-13 250.20667502431596 46.62070196501446 1
86 373.29 201.46 0.21 -4.7 4.51 2.1284787308642375e-12 250.17914717406276 46.62219060257315 1
95 1077.83 232.74 0.13 35.09 1.87 4.559303308586105e-13 250.0889625878862 46.62457150335883 1
102 1490.43 263.82 0.09 -40.19 3.24 1.3050091641190532e-12 250.03613106071927 46.62705467916955 1
128 1116.06 319.51 0.25 8.57 3.24 1.3920264611756932e-12 250.08399673297745 46.63217639889206 1
137 1024.78 338.77 0.45 39.42 2.46 7.851724492094346e-13 250.09566333076341 46.63392236005857 1
152 1704.65 378.96 0.6 90.0 1.6 2.9215519229961926e-13 250.00860475318132 46.637037098197546 2
165 583.02 412.17 0.2 -37.46 5.35 2.783740756525961e-12 250.15215378623535 46.64061057606948 1
168 223.07 424.11 0.32 26.51 2.33 6.549495167808876e-13 250.19822296494752 46.641832279554606 1
171 1036.1 446.02 0.31 -63.98 4.07 1.5295084441078664e-12 250.09412526922387 46.643343545002296 1
184 1597.61 466.11 0.22 9.15 1.6 3.756710859836871e-13 250.0222240718325 46.64476809823791 1
191 161.13 474.44 0.49 62.75 1.69 3.333215136552267e-13 250.2061208444767 46.64628471254592 2
195 1370.86 484.72 0.02 30.96 4.51 1.6476556251477672e-12 250.0512356498874 46.646546713540694 1
224 1478.36 554.67 0.14 15.65 4.58 1.4796015425713278e-12 250.03740934101953 46.65262886859628 1
260 41.01 631.94 0.54 29.15 1.87 5.554543129373017e-13 250.22140129749158 46.66018167790246 2
277 306.62 657.05 0.46 -14.15 2.65 9.655141572258893e-13 250.1873698412553 46.66227049207156 2
282 412.43 670.44 0.61 24.92 2.03 5.247831197340906e-13 250.1738098792642 46.66339791280239 1
295 1785.17 690.18 0.07 46.32 7.36 3.2611151230901532e-12 249.99799209494753 46.66433974127306 1
312 808.01 734.6 0.4 71.97 2.33 9.495940956636235e-13 250.12310010337671 46.66883713577996 1
336 730.86 768.42 0.18 -51.22 1.87 3.9008421870074115e-13 250.1329552798706 46.67185051677113 2
