NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius kron_flux ra dec flag
852 444.59 1306.71 0.51 -57.83 2.03 3.249156589797348e-17 322.3315360698134 0.15133707768371135 1
876 679.88 1354.32 0.27 -72.33 1.87 2.2598750539352573e-17 322.3108165932687 0.15545146882074662 1
881 776.67 1358.9 0.4 -43.9 2.39 3.7437045989332925e-17 322.302310873416 0.15581202502789884 2
882 1554.23 1362.05 0.36 -42.22 2.26 5.330636928060165e-17 322.2340001454671 0.15549763038849346 1
935 604.17 1466.72 0.2 -76.61 2.76 4.4893030969350404e-17 322.31734269061866 0.16535463771427056 1
951 581.32 1497.77 0.15 -9.96 1.69 2.071946181297703e-17 322.31931303832005 0.16808862509695027 1
961 288.92 1516.52 0.45 10.97 3.57 9.608904563137057e-17 322.344942350453 0.16980655014383134 1
969 1809.01 1539.17 0.53 -38.07 1.87 2.651088213019328e-17 322.21154197451386 0.17071748389668304 2
972 788.37 1546.8 0.34 -72.03 1.6 1.9747063197122094e-17 322.3010959409495 0.17230135044479436 1
1026 673.97 1658.03 0.06 -39.82 3.99 6.857204166592463e-17 322.31100900092815 0.18210842558114734 1
1027 805.71 1664.84 0.17 65.7 8.9 3.9313349577967945e-16 322.29945420355455 0.1826396653553174 1
1039 1895.82 1681.64 0.47 -56.46 1.6 2.043784483273951e-17 322.2038683970603 0.18305974348453094 1
1054 105.25 1711.45 0.38 -25.49 6.84 2.43615611638303e-16 322.36077250595395 0.18693192827328925 1
1058 581.14 1709.09 0.64 31.26 1.69 2.0476597846913907e-17 322.31908576926287 0.1866224324325302 1
1063 21.01 1722.61 0.5 -67.99 1.6 2.4129596396365643e-17 322.3681342891995 0.18791203066541207 2
1064 1124.51 1725.47 0.27 5.18 2.76 4.436593351027778e-17 322.2714562913609 0.18773116371500387 1
1071 391.16 1741.87 0.19 46.33 1.6 1.625078266673075e-17 322.33568710624587 0.1895573984336004 1
1076 1110.16 1763.22 0.45 -69.55 6.28 1.7647602762460308e-16 322.272680752671 0.19104530554879828 1
1121 228.7 1817.21 0.24 -71.22 2.82 5.594883253337682e-17 322.34981094520896 0.1961915329581998 1
