NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius kron_flux ra dec flag
868 240.03 1184.15 0.07 88.09 5.01 2.1554348508991084e-12 126.56413812628908 4.260932241653979 1
874 1943.26 1187.23 0.19 35.23 2.19 6.917785199713752e-13 126.41408812979648 4.259580301986212 1
891 115.03 1204.11 0.47 70.92 2.26 9.321834277445834e-13 126.57513112875658 4.262804630278181 1
892 56.57 1203.92 0.63 -9.44 1.87 6.959488023394355e-13 126.58028183769201 4.2628429032345085 1
938 1115.75 1252.5 0.36 84.32 1.87 5.540864985667229e-13 126.48692585919032 4.266108990483829 1
941 658.96 1257.33 0.29 74.86 2.71 8.82302335965159e-13 126.52716230184424 4.26696783522573 1
949 726.52 1271.24 0.27 -0.33 1.78 4.1941543008307185e-13 126.52119781197423 4.268126495078789 1
956 958.17 1278.3 0.26 50.57 2.59 9.94141403887707e-13 126.50078368815161 4.2685276015881355 2
975 278.15 1294.96 0.28 12.8 3.91 1.8457374239020323e-12 126.5606748138301 4.2706364579282 1
1035 657.6 1353.6 0.3 -77.59 2.19 5.820316799230129e-13 126.52719064448982 4.275431359408327 1
1062 268.5 1382.44 0.48 -10.36 2.76 1.235637177342995e-12 126.56144183206058 4.278334628323276 2
1106 901.94 1423.53 0.12 71.89 4.15 1.3378199569720037e-12 126.50559868259079 4.281346615256632 1
1131 1772.77 1447.57 0.05 -87.25 2.82 9.56373404829289e-13 126.42885669581317 4.282628500120598 1
1135 1454.18 1450.54 0.11 -69.47 3.19 1.1875574016194063e-12 126.4569217089754 4.283194473474507 1
1138 1795.42 1457.69 0.35 49.3 6.96 4.584589446159646e-12 126.42685221186298 4.2834958744528855 1
1169 386.23 1481.85 0.41 -65.12 1.95 5.646840946079565e-13 126.5509761139326 4.286961774655196 1
1173 1038.98 1484.39 0.15 4.68 3.61 1.7153545624007652e-12 126.49346749740067 4.286565703373259 1
1204 912.2 1517.36 0.08 -25.59 2.03 5.039660837269241e-13 126.50460509941742 4.289585024251641 1
