NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius kron_flux ra dec flag
562 1584.06 878.91 0.57 10.81 4.41 12.49209244997422 328.44917600601 17.52317676643509 1
569 373.65 904.51 0.32 81.32 6.98 19.834580350500683 328.5634543987455 17.526704526888054 1
584 639.43 923.01 0.22 9.93 2.82 5.05228136988662 328.5385467890399 17.528062566306822 1
586 1353.3 925.05 0.1 -69.17 4.3 7.481786919907274 328.47089017598023 17.52753630235263 1
587 1660.78 924.43 0.21 65.45 2.39 3.633818658613742 328.44192489199526 17.52721350043348 1
599 765.57 937.12 0.13 -77.11 3.57 6.802144861674786 328.5266258774989 17.529201233752282 1
605 1261.52 948.06 0.19 -35.58 1.6 1.9370843557254038 328.4795622301151 17.52970111809614 1
608 1943.42 950.34 0.09 25.93 2.26 4.273822834716669 328.41564282151205 17.52930177244631 1
615 1605.38 957.71 0.26 -35.74 2.03 2.760559118274141 328.4470797865459 17.530258284066285 1
621 2028.21 967.34 0.55 -1.7 2.39 3.9149262000649703 328.4078446941743 17.53074698201951 2
631 2004.11 985.01 0.47 -78.32 1.78 2.342836517149481 328.41002874082335 17.532347139052547 1
641 1395.28 1004.35 0.61 -76.0 1.95 2.8251063306929045 328.4668338673966 17.534665229172955 1
647 478.13 1012.56 0.34 40.34 3.66 10.039490401453593 328.553618140063 17.536313719905525 1
678 222.68 1045.21 0.25 31.81 2.82 6.410852530729077 328.5773156260361 17.53950759308729 1
679 669.17 1046.07 0.33 57.74 2.11 3.8066363456050607 328.5356322974094 17.53914969903027 1
689 2031.17 1060.96 0.0 15.88 2.76 4.029865509205729 328.40746946493806 17.539103087058837 2
706 1533.92 1087.07 0.38 70.55 3.57 9.417724003391907 328.4536647805863 17.541997928042033 1
715 1348.27 1110.55 0.38 82.14 3.48 8.609159207099498 328.4711777822005 17.544317244455616 1
747 967.05 1150.38 0.43 72.84 2.19 3.4372606745996794 328.5073194364656 17.548306936663035 1
765 368.43 1177.88 0.1 58.94 2.65 4.6324358613280365 328.5636739992137 17.551299532877522 1
771 1848.37 1188.81 0.56 14.71 2.11 3.2846757356920193 328.42418680095136 17.55077566258745 1
775 645.26 1193.81 0.43 41.95 1.95 3.988023657397336 328.53772725124054 17.552521220226208 1
799 1143.86 1225.25 0.52 -55.29 1.6 1.8633518087755583 328.49045650981196 17.55491088234903 1
818 1090.03 1251.87 0.27 -78.62 3.04 5.5327656274780015 328.4955400308591 17.557373195361915 1
824 483.39 1258.34 0.12 34.94 2.03 2.7385901348839887 328.5528456205216 17.55845961290797 1
832 474.0 1271.28 0.4 -59.33 5.5 12.826082137902494 328.55370636278826 17.559630691950808 1
834 1088.21 1270.38 0.75 -11.2 1.6 1.8652533473259485 328.495694688096 17.559049175085207 2
843 1048.96 1290.8 0.38 35.77 7.46 22.85051875177017 328.49939885137223 17.560934665234072 1
844 1633.53 1284.53 0.42 46.15 1.6 1.624648863496187 328.444145508873 17.559672382001885 1
853 231.95 1298.94 0.19 -51.01 3.29 7.774978419593881 328.57613202813434 17.56224348551205 1
899 1462.77 1362.39 0.21 82.41 4.26 10.052268879056056 328.46014627795364 17.566916270157087 1
913 2018.16 1375.47 0.42 13.04 2.82 5.1984175156541585 328.4084716271076 17.567173281809968 1
920 96.63 1387.99 0.11 -81.78 2.71 5.773703232060118 328.5883647937637 17.570232079632103 1
923 765.08 1390.93 0.73 -53.44 1.6 1.9997076226446904 328.52617440287844 17.570216392118905 1
939 903.94 1416.16 0.22 -66.73 3.74 7.006606789069856 328.5130095610289 17.572382199988738 1
975 651.42 1474.57 0.52 51.73 2.99 7.002211142689973 328.5367654938712 17.57780784261241 1
979 433.1 1477.03 0.31 -70.31 2.76 5.539165774027964 328.5571924913013 17.57811614210515 1
992 1711.14 1496.01 0.24 21.0 2.26 3.580028821502138 328.43679402579545 17.578505092809362 1
996 1031.05 1503.4 0.26 -75.14 2.39 3.967739992363825 328.50087012828595 17.580118494314913 1
1000 1702.61 1509.1 0.41 20.52 5.81 15.988507440487085 328.43758491554723 17.579689948466914 1
1021 1208.75 1538.14 0.15 85.31 2.82 4.847481573068975 328.4840140744486 17.583046617640687 2
1036 538.38 1566.25 0.07 -61.62 5.41 11.300049614142406 328.5472070908185 17.58606231848863 1
1037 1455.01 1561.43 0.58 -64.75 1.6 1.666889502723285 328.46075625178395 17.584791047001655 1
1058 1350.57 1585.66 0.24 58.96 2.99 5.183648693799502 328.47058007442297 17.587115849902546 1
1075 1701.42 1610.48 0.54 0.08 1.6 1.647335887392539 328.43767665939936 17.588722427358444 2
1076 1195.3 1614.49 0.39 84.09 2.65 4.329147391569709 328.4852179090945 17.589900117111856 1
1077 1122.51 1616.82 0.35 -85.34 3.78 7.695357990807638 328.49209541286535 17.590193223444235 1
1079 57.16 1615.92 0.49 -21.44 1.6 2.0222135253497306 328.5914111543437 17.59042346648523 1
1083 1308.41 1621.18 0.15 73.71 2.46 3.746804694330675 328.4745327119862 17.59034988042205 2
1108 1508.81 1651.36 0.13 -80.31 1.69 1.8651263489364924 328.45566276957624 17.59272451714165 1
1122 1472.07 1668.76 0.45 40.63 1.69 2.2827012441014087 328.4591026840244 17.594336452630642 2
1127 1700.33 1682.9 0.51 87.68 3.7 10.925158956784752 328.4377745524304 17.595150386771135 2
1145 138.77 1722.39 0.35 -81.77 1.95 3.926778447350868 328.583712741784 17.59984115979717 1
1149 783.07 1725.69 0.3 -59.83 2.52 4.062071134595003 328.5239770224293 17.600179012051022 2
1159 1293.04 1737.16 0.36 8.35 2.88 5.856500057973229 328.47589909603545 17.60070209009016 1
1160 208.93 1741.11 0.25 -26.22 4.26 10.490779855863476 328.5772672701351 17.6015282862791 1
1175 169.37 1773.55 0.15 6.42 5.26 19.944374942020243 328.58077895112456 17.604352643979556 1
1179 1282.1 1778.14 0.2 -45.62 1.6 1.3998893499976282 328.4769004687652 17.60435182749536 1
1225 1962.78 1855.88 0.19 66.48 4.33 10.137880062653625 328.4136879534445 17.60966841412543 1
1228 150.96 1862.25 0.21 -42.7 4.44 9.724772049830364 328.5821717225617 17.612091587644848 1
1243 565.06 1890.58 0.25 24.1 2.65 5.00761763995576 328.5440315035859 17.614786699689716 1
1249 472.47 1900.71 0.03 -41.72 3.52 8.055872934937119 328.5525921752985 17.61565530780559 1
1257 1489.35 1911.5 0.17 -17.14 3.09 6.828953178568147 328.45741308453836 17.61574181993829 1
1265 1476.52 1934.32 0.42 49.55 7.84 26.999638203415643 328.45860619781666 17.617766064920783 1
1285 478.04 1963.42 0.2 -83.52 2.88 5.428544169515282 328.55190855754245 17.6211327064966 2
1286 1809.84 1962.89 0.22 -43.53 1.6 1.615815896195865 328.4277495319967 17.619429073235086 1
1304 1193.49 1985.55 0.25 71.52 2.99 6.459889874889121 328.4850574886864 17.622728053315175 2
1313 273.05 1997.79 0.37 -9.4 2.76 5.210288472897435 328.5706195592577 17.623978715232884 1
1335 126.51 74.21 0.7 -12.52 25.82 5333.054382562743 328.58586758132486 17.453999137018265 1
1351 1194.36 85.28 0.18 -79.91 4.98 8.954513952669256 328.4869700885742 17.45283969418398 1
1360 736.18 129.2 0.39 66.73 4.75 13.944626864495437 328.529823548653 17.45720462550868 1
1370 1409.96 341.05 0.44 -84.87 6.36 17.771941234584776 328.46634843299387 17.475170679904746 1
1371 1418.32 337.97 0.06 -39.97 3.34 4.2778032418853265 328.46556959046836 17.474895498339638 1
1374 750.58 521.91 0.38 -54.24 3.99 8.142303009947703 328.5283311722714 17.491860389670215 1
1382 1743.67 628.37 0.15 -29.5 10.73 49.99992250394944 328.4346321207283 17.500620633512302 1
1383 1750.64 635.58 0.46 -58.28 4.15 8.523206542959922 328.4339712232523 17.501262186964144 1
1386 1116.02 829.73 0.07 61.81 7.29 23.68654541946391 328.4934907153201 17.519136374859762 1
1429 964.22 1404.42 0.07 81.9 7.42 20.728427246003427 328.50731299387235 17.57127159041867 1
1430 968.72 1412.89 0.82 -44.29 1.6 1.903830292066589 328.50687723805703 17.572031538817185 2
1431 704.41 1452.51 0.09 -48.57 3.48 4.202637969968034 328.53181135347234 17.57579722736769 2
1439 736.12 1562.15 0.14 43.1 3.66 7.291813191679475 328.52865844669816 17.58561438786896 1
1440 756.52 1571.13 0.35 27.43 8.37 32.52498730374533 328.5267234675995 17.586407053616096 1
1462 445.29 1880.02 0.11 -67.97 5.05 13.937563347212025 328.555159951327 17.61383464360855 1
1466 896.4 1936.99 0.15 -75.3 5.01 13.344968383895976 328.5129845097265 17.61877264068724 1
1468 1512.46 1982.94 0.28 35.98 8.33 31.310627664597526 328.4552509217841 17.621933661470496 1
1477 1070.84 2035.2 0.36 77.79 7.27 17.976196756499593 328.4964949253216 17.627206222876257 1
