NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius kron_flux ra dec flag
13 1492.99 27.74 0.54 -41.06 2.11 4.662506897126318e-13 203.78472322749553 40.909981480822154 1
20 1783.81 49.81 0.17 46.07 2.11 7.14799250943796e-13 203.7508259484338 40.9116899292197 1
22 2037.44 56.95 0.16 46.87 2.65 7.048859389445687e-13 203.72127603238147 40.912106691833 1
37 1495.22 97.71 0.2 -35.35 3.19 1.2221017474776945e-12 203.7843909933103 40.91613304713866 1
57 1958.52 176.42 0.55 -47.64 4.69 2.5667497531056306e-12 203.73033620608408 40.922679845465666 1
59 828.8 180.22 0.32 -21.52 3.95 1.728746465206217e-12 203.86194202318316 40.92388494766563 1
87 1925.87 245.22 0.38 -1.32 6.96 4.111699262896403e-12 203.73406451137822 40.928757585901074 1
101 229.89 268.38 0.53 35.58 1.6 3.733866550971613e-13 203.93164112279692 40.932039578999586 1
102 1474.34 275.32 0.54 -60.94 4.48 2.8512918365752556e-12 203.78663918141055 40.931769043391164 1
115 465.67 314.51 0.24 59.76 4.26 1.6520404408199913e-12 203.90412925279244 40.93594330383613 1
129 905.21 350.69 0.1 63.9 2.65 7.38859878744938e-13 203.8528796424374 40.93882244240254 1
142 956.75 368.38 0.09 -29.21 3.09 1.032336933078949e-12 203.84685698050333 40.940341502402205 1
146 272.38 393.37 0.65 50.33 1.6 4.3162918527399617e-13 203.92658507521125 40.94300438811775 1
155 1275.5 415.49 0.43 45.12 1.6 3.445162021379301e-13 203.80966611727305 40.944249607215575 1
179 1099.56 462.64 0.68 -69.53 7.18 4.239559653297325e-12 203.83012376826238 40.9485270653669 1
186 895.69 470.54 0.14 -75.87 3.83 1.5394948425870565e-12 203.85387621870441 40.94936947999331 2
189 731.14 480.71 0.5 66.14 1.87 3.9616747767278194e-13 203.87304382593553 40.95038001118633 1
194 993.2 490.5 0.21 22.33 2.26 6.267997949531732e-13 203.84249270752142 40.951054638510286 1
195 240.01 494.41 0.35 7.51 3.78 1.7523290097135356e-12 203.9302723140528 40.95191107165745 1
202 525.31 507.51 0.56 -39.91 1.87 4.798614622582415e-13 203.89700960854802 40.95287705587507 1
204 1999.83 513.33 0.37 -16.64 2.46 8.254040373070269e-13 203.72514848392098 40.95227394981313 2
229 400.56 583.6 0.14 80.93 4.33 1.8170120036861368e-12 203.91148264922285 40.959651307495086 1
251 147.84 627.87 0.19 -46.17 1.6 3.035665298162247e-13 203.9409043774807 40.963706846291046 1
284 1377.53 705.83 0.31 -68.64 4.85 2.225701052907778e-12 203.79748127678792 40.96970506567678 1
302 859.85 726.89 0.19 -32.65 1.87 4.684394266347636e-13 203.85781265030715 40.971939597358784 1
317 1484.03 760.08 0.67 87.09 3.61 1.7418340665517475e-12 203.78500955780623 40.974393134726505 1
333 224.19 786.02 0.23 -36.81 2.39 7.689410439093752e-13 203.93187182398705 40.97756690304489 1
337 1005.15 788.04 0.18 0.34 1.78 3.609339988093917e-13 203.84081382916085 40.977213095709956 1
347 1152.04 810.75 0.32 33.13 2.39 6.528005609471912e-13 203.82366584820485 40.97910261028109 1
364 1682.15 836.11 0.38 -33.88 2.82 1.0046996278619396e-12 203.76182967110805 40.98092255771846 1
385 696.8 886.79 0.2 84.91 3.34 1.2337106126985873e-12 203.87667611194092 40.98611666403325 1
406 892.39 918.61 0.34 -75.47 2.93 7.9715029881158e-13 203.85383750608514 40.98877793911554 1
409 1457.84 922.56 0.09 -18.03 5.94 2.2739997578743718e-12 203.78789513243723 40.98870279939853 1
412 697.37 925.3 0.11 -81.34 3.24 8.681342399360307e-13 203.87657405878875 40.98950286138191 1
414 1625.06 927.81 0.18 47.3 5.11 2.3195916902866907e-12 203.7683890193977 40.98903291253946 1
415 388.86 925.88 0.15 -30.54 2.03 6.171166574939736e-13 203.91255044009563 40.98976107007678 1
417 355.86 928.77 0.47 11.18 4.33 1.833249327591758e-12 203.9163962259708 40.99003659062757 1
441 1429.17 965.65 0.31 4.36 5.11 2.2353338952049097e-12 203.79119409559547 40.99251478868903 1
477 891.36 1013.56 0.22 49.09 3.24 1.0567105752172631e-12 203.8538685732699 40.9971288091452 1
486 41.27 1023.56 0.18 -7.62 2.11 5.601379621901828e-13 203.95300595497787 40.998571954193395 2
497 176.95 1045.08 0.22 68.09 6.56 3.2352662677921647e-12 203.93716409533434 41.000379757846716 1
505 436.09 1052.42 0.28 10.33 3.04 1.357018932383916e-12 203.90693191680484 41.000858342480555 1
507 1390.63 1060.52 0.19 -6.43 6.31 3.029666986487423e-12 203.79559147757203 41.00088793814258 1
510 102.84 1064.34 0.26 6.18 5.94 2.7528342321252196e-12 203.9457918800171 41.002120109951136 1
538 1437.25 1088.53 0.23 -62.37 1.95 4.171464036764808e-13 203.79012560099738 41.00331541620787 1
553 1711.8 1104.36 0.23 32.08 3.39 1.1698554495696801e-12 203.75808510877826 41.004489882671685 1
555 1676.38 1105.07 0.15 -68.99 2.52 7.165621289507908e-13 203.76221616556958 41.0045803646538 1
563 1630.08 1120.04 0.46 50.77 2.33 1.2607079131735017e-12 203.76760117308916 41.00593462237497 1
569 1099.23 1124.86 0.1 45.56 4.22 1.903239522562232e-12 203.82951630814705 41.00676645094131 1
585 1173.94 1141.43 0.16 20.22 2.93 7.305506973593294e-13 203.82078588653485 41.00816759170729 1
595 647.07 1156.1 0.27 -49.29 2.19 5.372781710030296e-13 203.88223022467963 41.00983512433105 1
602 87.18 1162.83 0.18 47.11 1.6 2.747310472202466e-13 203.94753777792346 41.01079182441653 1
647 441.76 1234.67 0.08 -34.66 3.19 8.993697695694336e-13 203.90611139475936 41.0168826291477 1
677 373.58 1278.95 0.43 8.52 2.33 9.089676516478638e-13 203.91402789856497 41.0208217088157 1
701 987.17 1327.46 0.19 51.85 1.87 4.4389456218159877e-13 203.84239305984747 41.02466542218492 2
703 1696.89 1332.92 0.2 -46.6 1.6 2.4508026532418864e-13 203.75958048432992 41.02460205611866 1
707 1001.54 1343.19 0.34 -35.05 4.15 1.7301093890310477e-12 203.84070104651292 41.02603876978379 2
722 1584.39 1373.1 0.09 -25.92 2.46 6.419280234580393e-13 203.77266402297252 41.0282254527751 1
725 1004.69 1383.85 0.17 -21.59 2.46 9.453968951158182e-13 203.84029443456015 41.029612004744386 1
726 1946.13 1386.14 0.18 -46.52 1.6 3.07829022897466e-13 203.73044128359402 41.02907738129076 1
727 1139.53 1390.75 0.12 23.38 3.57 1.1003923237860503e-12 203.82455467337243 41.03012009637845 1
728 1928.75 1394.1 0.54 -35.94 1.6 3.2424452576872324e-13 203.73245953341882 41.02979202196958 1
760 1697.81 1458.05 0.12 84.01 2.76 7.925589321267029e-13 203.75933911490276 41.035606065379554 1
779 1404.76 1492.02 0.36 17.22 4.44 1.810338161925773e-12 203.79350194196445 41.0388251038437 1
781 913.5 1491.7 0.42 36.82 1.78 4.107354297931788e-13 203.85083288916366 41.03916317177548 2
785 1023.36 1516.93 0.12 -53.02 6.6 2.829126749549336e-12 203.83798784451488 41.04130261479303 1
790 175.9 1536.35 0.26 -31.11 5.84 2.6945264344377695e-12 203.93687708509256 41.04358533676854 1
796 2009.92 1552.45 0.33 64.83 2.93 1.1591711673116665e-12 203.7228110592669 41.043649585379235 1
808 506.31 1585.55 0.06 -6.4 7.57 3.622443111935487e-12 203.89827106742612 41.04769815948421 1
820 1409.98 1608.63 0.31 84.15 2.88 1.005288809206774e-12 203.7927724249654 41.04907635236042 1
821 1202.94 1611.75 0.12 -27.12 2.99 1.2427575223081653e-12 203.81693609616406 41.049508297955285 1
825 980.71 1630.28 0.4 22.43 2.03 7.78826503978448e-13 203.84285653072953 41.05130159414641 1
830 1280.94 1642.64 0.12 70.51 4.51 1.4879787050382436e-12 203.80780029250437 41.05216605715452 1
838 102.26 1673.06 0.41 -31.01 3.66 1.482002726398754e-12 203.94535913806249 41.055654935329464 1
845 1157.76 1696.29 0.38 -68.5 2.11 8.276037018708452e-13 203.82212528160477 41.05697680126052 1
852 1167.36 1712.91 0.12 1.96 4.89 1.7700503463452183e-12 203.82098892963702 41.0584311018523 1
865 880.41 1749.0 0.18 8.85 2.39 1.0225805192383633e-12 203.85445212892736 41.061814202608986 1
866 1298.87 1759.8 0.18 -57.89 2.65 1.089103912270077e-12 203.80558898711453 41.06245611124306 1
887 12.84 1817.95 0.1 32.42 1.6 7.566798571177112e-13 203.95567998363407 41.06845193954716 1
894 408.37 1857.24 0.25 -71.95 2.76 8.926330218650067e-13 203.90946604265204 41.071656773843685 1
896 864.29 1858.15 0.33 -23.14 2.03 5.892913667346635e-13 203.85623169385906 41.071425169775004 1
898 99.48 1862.65 0.23 -41.19 1.6 4.324853004338419e-13 203.94552839073464 41.072329845250685 1
900 575.97 1865.78 0.46 -49.47 2.26 6.259105939548666e-13 203.88988859555946 41.07229621470641 1
915 1226.24 1905.73 0.35 52.42 4.18 1.9506591842929214e-12 203.813922628181 41.075344447108904 1
950 1382.72 2013.22 0.08 -82.31 4.58 1.9255162910411387e-12 203.7955416592924 41.08467837233414 1
966 1803.43 2045.65 0.65 -7.9 1.6 3.7717695955640037e-13 203.7463744464331 41.08719530740481 1
1010 1995.47 2038.93 0.49 -41.88 10.34 2.8473470559339743e-11 203.7239536569958 41.086444489245615 1
1024 1611.14 171.64 0.14 -56.56 4.15 1.2806075128809392e-12 203.77081036738028 40.92254340798252 1
1036 1340.81 602.82 0.57 -17.45 1.87 2.5588193253764033e-13 203.8018659497504 40.96067436979271 1
1050 241.89 997.73 0.43 -3.8 5.5 2.11876242623238e-12 203.929629323772 40.99617439823832 1
1056 1182.78 1020.8 0.48 20.59 4.82 1.784653905504794e-12 203.81987395669069 40.997552453012084 1
