NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius kron_flux ra dec flag
4 1056.56 28.19 0.27 77.16 2.39 3.0813419271547433 328.39689661623714 17.580303859730094 2
30 53.08 73.14 0.22 -44.16 1.6 1.7282198767046073 328.48963159131546 17.586442644345755 1
58 1184.35 109.75 0.13 -20.78 4.95 11.981685239231263 328.38483027837646 17.587267377503466 1
61 121.41 112.13 0.39 -21.52 1.69 2.047852778224639 328.4835400946249 17.589550415297754 1
75 1749.81 130.08 0.36 -60.22 1.69 1.7146678341145083 328.33209682259513 17.589103854409455 2
84 1714.18 142.02 0.35 -79.83 3.24 5.5358458438389775 328.33535197278457 17.590105426793098 1
90 223.75 153.61 0.27 48.42 3.95 8.540575024693851 328.4743036594951 17.592807905792572 1
107 77.53 186.27 0.31 -31.44 1.78 2.137982989605063 328.4876059066181 17.596065322417463 2
109 620.24 193.24 0.41 -81.05 3.43 6.4103631286601725 328.4377106368319 17.595288608447106 2
121 1235.5 209.76 0.28 71.79 2.39 3.24818424950216 328.37990583517006 17.59596048724096 2
145 1931.03 242.1 0.16 -51.97 2.88 5.812094143966937 328.3151707085456 17.598975516902282 1
159 74.11 259.56 0.48 -63.68 1.69 1.7807928415954746 328.4880080742172 17.602410663185125 1
170 172.79 286.43 0.24 -59.53 1.95 2.3446115431187735 328.47908499460743 17.604467897869117 1
190 1600.67 320.57 0.29 -23.21 3.34 6.215176864705944 328.3454925604869 17.60561841732954 1
195 1087.23 333.47 0.58 46.53 6.96 16.975937535619817 328.39375403434747 17.60695482814462 1
214 1894.09 352.71 0.52 50.69 1.78 2.275990707237157 328.3182551172145 17.60856938079977 2
217 874.76 361.47 0.17 -76.5 4.03 5.899617539818088 328.41379339240945 17.60966894685347 1
227 70.08 375.55 0.43 37.62 4.75 10.083693506778882 328.4884907620613 17.612512359828486 1
235 468.84 384.66 0.28 -71.45 1.69 1.4305064433531793 328.45186418869207 17.612392792025535 1
260 411.39 420.03 0.66 -40.97 3.48 8.085104511388447 328.45721222479204 17.615630558321676 1
269 1025.66 433.62 0.69 -84.3 2.11 4.973212353241697 328.39949288817473 17.6158946303424 2
293 87.93 479.67 0.54 -62.74 2.26 5.760762938800569 328.48694892014817 17.62159038843517 1
303 1525.94 488.92 0.39 -81.28 1.78 1.6366907432260231 328.3521945568834 17.620497007184404 1
316 190.63 504.11 0.47 -67.49 1.6 1.5823134524007294 328.47759791260205 17.623514206186528 2
321 1096.5 511.01 0.23 -54.83 3.14 4.402942265363224 328.3927238121208 17.622721109265832 1
330 348.4 531.34 0.23 -36.16 3.09 6.100313714676338 328.46307328512637 17.625606865217275 1
342 1576.45 552.01 0.12 -16.99 4.07 8.674129727835695 328.34735432816234 17.62609738500266 1
354 944.58 563.41 0.29 -55.83 2.93 4.113930523174837 328.407077622134 17.62756442195275 1
363 1161.85 578.51 0.14 -83.93 5.29 9.198605472547406 328.38646910815083 17.62869960828168 1
367 209.6 583.87 0.4 -12.77 1.69 2.141844820863756 328.4758800169143 17.63053082666363 1
371 1570.35 592.27 0.08 -61.46 2.46 2.6412680307069465 328.3478652111684 17.62968827744284 1
382 749.05 607.75 0.19 -86.35 2.99 3.47540885808304 328.42555034946446 17.631778560124364 1
402 1021.7 630.19 0.1 -10.22 1.95 1.660410100526005 328.3997176298183 17.633467823052158 2
404 947.77 635.12 0.34 -63.28 2.93 4.397814618216167 328.4067264212155 17.633989487937733 1
